image1;image2;similar;elapsed
/app/tests/img/img-001.jpeg;/app/tests/img/img-001.jpeg;0;1.16
/app/tests/img/img-001.jpeg;/app/tests/img/img-002.png;0;0.96
/app/tests/img/img-001.jpeg;/app/tests/img/img-003.gif;0;0.95
/app/tests/img/img-001.jpeg;/app/tests/img/img-004.jpeg;0.67;0.97
/app/tests/img/img-001.jpeg;/app/tests/img/img-005.png;0.67;1.28
/app/tests/img/img-001.jpeg;/app/tests/img/img-006.gif;0.67;1.21
/app/tests/img/img-001.jpeg;/app/tests/img/img-007.jpeg;1;1.33
/app/tests/img/img-001.jpeg;/app/tests/img/img-008.png;1;1.3
/app/tests/img/img-001.jpeg;/app/tests/img/img-009.gif;1;1.79
/app/tests/img/img-001.jpeg;/app/tests/img/img-010.jpg;1;1.81
/app/tests/img/img-001.jpeg;/app/tests/img/img-011.jpg;1;1.05
/app/tests/img/img-001.jpeg;/app/tests/img/img-012.jpg;1;2.39
/app/tests/img/img-001.jpeg;/app/tests/img/img-013.jpg;1;1.23
/app/tests/img/img-002.png;/app/tests/img/img-001.jpeg;0;1.37
/app/tests/img/img-002.png;/app/tests/img/img-002.png;0;1.41
/app/tests/img/img-002.png;/app/tests/img/img-003.gif;0;1.22
/app/tests/img/img-002.png;/app/tests/img/img-004.jpeg;0.67;1.5
/app/tests/img/img-002.png;/app/tests/img/img-005.png;0.67;1.04
/app/tests/img/img-002.png;/app/tests/img/img-006.gif;0.67;0.96
/app/tests/img/img-002.png;/app/tests/img/img-007.jpeg;1;0.99
/app/tests/img/img-002.png;/app/tests/img/img-008.png;1;1.09
/app/tests/img/img-002.png;/app/tests/img/img-009.gif;1;1.1
/app/tests/img/img-002.png;/app/tests/img/img-010.jpg;1;1.12
/app/tests/img/img-002.png;/app/tests/img/img-011.jpg;1;1.07
/app/tests/img/img-002.png;/app/tests/img/img-012.jpg;1;0.96
/app/tests/img/img-002.png;/app/tests/img/img-013.jpg;1;0.97
/app/tests/img/img-003.gif;/app/tests/img/img-001.jpeg;0;1.09
